question,answer
is there any concealer that actually helps get rid of acne and keep it away,many of the concealers that treat acne are salicylic acid based products that are tinted to camouflage blemishes and dry out the acute acne breakout unfortunately acne can be a chronic condition if you are suffering from multiple acne lesions you should incorporate a skin care routine that includes a cleanser toner and antibacterial treatment lotion in order to help manage future breakouts
how long does the syphilis antibody stay in the blood,a long long time perhaps forever link
what is balanitis,balanitis is an inflammation of the head of the penis a similar condition balanoposthitis refers to inflammation of the head of the penis and the foreskin symptoms of balanitis include redness or swelling itching rash pain and a foul smelling discharge
when do we need to get this health insurance by i have insurance until april but i hear that is going to stop as of january,open enrollment started oct 1 and runs through march 31 2014 if you want insurance to begin january 1 2014 however you will need to sign up for coverage no later than december 15 2013 if you have coverage through early next year you can wait a few months to sign yourself up
should tonsil stones be dealt with or are they benign,tonsil stones tonsilliths are innocent but they can be annoying other than digitally dislodging them and gargling after every meal there is little that you can do about them severe cases may qualify for a tonsillectomy but that would be up to the ent proving the medical necessity for this procedure with your insurance company
what if i am dropped from my health insurance in january 2014 am i out of luck until 2015,i am not sure what you mean by dropped but if you lose your existing coverage for any reason other than failure to pay your premiums you have experienced a qualifying event which allows you to shop for insurance and enroll in a plan outside the open enrollment period
what fruit juice acts as a laxative,the classic one prune juice
i have been supplementing with formula after every feeding as my baby pulls out hungry how do i increase my milk supply,you increase your breast milk supply by allowing your baby to nurse for a longer period of time on each breast this nipple stimulation increases your milk supply
my meds have had to be adjusted 3 times in the past year after being on the same dose for 10 years why would this be,i do not know i do not know what meds you are taking and why so this question of dosage adjustment can only be answered by the medical professional who is treating you
what can you do for 2 degree burn from hot liquid soup i was making myself soup slipped and spilled hot broth on myself,lots of cold water or cold compresses to limit the burn if the burn is extensive perhaps involving much of your hand and fingers you should see a medical provider unfortunately i have no way of determining the extent of your burn over the internet do not rupture or pop any of those blisters and use an antibacterial burn ointment or cream
can u get herpes from smoking after someone who has genital herpes,not unless they were smoking that cigarette in a very unusual way in other words you can not get genital herpes from someone else is lips
my father has a catheter he experiences enormous amounts of pain when he pees i do not think this is normal is it,no that would not be considered normal people who use catheters are very prone to urinary tract infections so it would be wise for your father to get this urinary pain properly evaluated by his medical provider
i am 3 12 weeks pregnant what should my hcg level be,hi do you mean 712 weeks pregnant you cant be pregnant till you have missed your period and been tested good luck
does vertigo have anything to do with alzheimers diease does having vertigo have anything to do with alzheimers diease,not really there are hundreds of causes of vertigo so it would be wise to see your medical provider so that those many causes can be medically investigated
what should i do if i suspect an overdose of dairy digest ultra,if overdose is suspected contact your local poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canadian residents should call their local poison control center directly
after a tension headache and sinus infection for several days why have i been confused spacey and forgetful,this type of word finding problem is pretty common with migraine tension headache does not normally do this but stress can cause both tension headache and difficult talking usually talking with a neurologist can sort this out
many women in my family have facial hair on their chins and jaw i have dark marks from shaving what do you suggest,you may want to consider having the hair removed with a laser by a trained professional between treatments consider using hydroquinone kojic acid alpha hydroxy acids or bearberry to help lighten the dark spots
i fell down and have a slight ache in my right side under my breast should i use a hot or cold pack,hi cold would be best as it helps relieve pain and attracts extra blood in to aid healing ok good luck
my husband was told he was prediabetic his gloucose level was 470 today he is not on medication should he go to the er,a glucose of 470 is diabetes not just pre diabetes this level can be very serious and he should seek immediate medical attention
she sucked my dick then we made out and i ate her out could she be pregnant i did not ejaculate but there may have been precum,hi if this was unprotected sex then yes there is always the chance of pregnancy good luck
is it safe to take a laxative once a month to clean your system out,i do not know anything about you or your medical history in order to tell you if it is safe to do this generally it would be fine but there is absolutely no medical indication or benefits to clean out your system using laxatives
what is the defferance betweeb xanax and prozac if you are taking xanax for anxiety can you can prozac for it also which is used for depression,not sure at all but my best guess is xanax helps really calm you down for anxiety and prozac puts you in a better mood for depression a year ago i was put on 10mg of prozac for depression and i just felt in a better mood but i think both meds help with both depression and anxiety
what should i do if i suspect an overdose of hc pram,this medicine may be harmful if swallowed if overdose or swallowing is suspected contact your local poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center
what causes lupus,we do not know what causes lupus lupus sometimes seems to run in families which suggests the disease may be hereditary the environment sunlight stress and certain medicines may trigger symptoms in some people other people who have similar genetic backgrounds may not get signs or symptoms of the disease
would adderall 5 mg sr tabs cause me to test positive for methamphetamine on a drug test,adderall is an amphetamine so it would be detected as amphetamines on a drug test if you are subjected to drug screenings you should have your prescription for adderall on hand or a doctor is note with you so you can verify that you take adderall for medical reasons
what if an adult took 1200mg of motrin at once,this is an over dosage but not a toxic or dangerous over dosage assuming if just was one isolated incident one needs to be very careful and not exceed recommended dosages of prescription or non prescription medications the most likely side effect would be gastrointestinal
can i tighten my skin somehow without having surgery,yes you can try undergoing radiofrequency based laser treatments such as with exilis to help improve tissue tightness in the cheeks also hyaluronic acid fillers such as juvederm or restylane may soften these lines
if your kid is sick should you get vaccinated or wait,a child with a mild common illness such as a cold or a low grade fever does not have to wait to be vaccinated it is preferable to delay vaccination for a child with a more severe illness if they have just the sniffles or a low grade fever it would be fine to vaccinate
what could cause my 5 year old daughters fingers toes and lips to turn blue and feel cold even when she is indoors,i am not an expert but it could be poor circulationlack of oxygen or anemia possibly look into these and see if she has other symptoms maybe they could be the cause
is aerobics a good exercise to loose fat in belly,with proper diet yes
can children take sudafed and motrin at the same time,yes it is safe to use sudafed and motrin there are no dangerous drug interactions always check with your pharmacist before giving your child an over the counter medication to make sure it is safe and will be effective for their symptoms
can prescribed hydrocortisone valerate be used to clear up poison ivy,it will help but it will still take a week or so for the rash to completely resolve treatment or not
where do i find out about different health insurance plans available to me in georgia,georgia is one of the states that has elected not to set up its own state marketplace called an exchange so to find out the options available to you go to www healthcare gov and then select georgia if the website is working you should be able to check out plans available in your state
how long does crack cocain stay in a pregnant woman,cocaine can stay in the system for up to four days depending on how much was used obviously a pregnant woman with any cocaine detected in the system is a very serious problem both for her and her unborn baby
i had a baby a few months ago and i am not comfortable using sunscreen on my baby are sunscreen safe on young babies,sunscreens are safe on babies i prefer the physical blocks and clothing for babies under six months after six months we use sunscreens as we do for children you can look for products designed for babies but often those are the same products used in adults but just with packaging that makes them look more interesting for children
what do i do if i have an asthma attack while exercising,if you begin to experience asthma symptoms during exercise stop and repeat your pre exercise inhaled medication quick relief medication such as albuterol if your symptoms completely go away you may restart the exercise if your symptoms return stop the activity repeat your quick relief medication and call your health care provider for further advice
am i pregnant i am bleeding and cramping with really bad lower back pains but i am not expecting my period for 2 weeks could i be pregnant,hi niccole if i was you i would get of to my doctor or gyno asap it could be something else that is giving you your problem good luck
what is a cavity and what exactly causes it how does fluoride prevent them,a cavity or tooth decay is caused by certain bacteria in the mouth when a person eats sugar and other refined carbohydrates these bacteria produce acid that removes minerals from the surface of the tooth fluoride helps to remineralize tooth surfaces and prevents cavities from continuing to form
what causes nausea during a heart attack,according to the american heart association during a heart attack nausea can be a typical symptom this occurs because the digestive system may not receive a sufficient enough blood supply and may result in the feeling of nausea
hi is it ok to take shower while sweating because when i shower while sweating after 2 to 3 hours i get cold thanks,hi once you get out of the shower and your dry just try putting some cloths on that way you do not get cold still cant get your question good luck
what is the difference between medicare and obamacare,health plans sold through the marketplaces set up under the law are primarily for people under the age of 65 who do not get health insurance at work a group or a spouse is employer medicare is the federal health insurance program for people over the age of 65
what is the best application for persons with ichthyosis,the best treatments are urea or lactic acid based creams they help gently exfoliate and hydrate the skin
can a foreigner living in singapore purchase any insurance plans from this platform,no only u s citizens and legal immigrants can apply
my skin is becoming more sensitive to skin care products can skin become more sensitive when it was not before,sometimes skin can become more sensitive when it has been overtreated with a variety of products with different ingredients like fragrances and acids or ingredients that are too harsh i have seen patients who end up red blotchy skin because they have been using salicylic acid glycolic acid and retinoids and the combination is too much
how can i manage bleeding and swollen gums during pregnancy,the increase in your circulation and supply of certain hormones may cause tenderness swelling and bleeding of gums recommendations take proper care of your teeth and gums brush and floss regularly get a dental checkup early in your pregnancy to make sure your teeth and mouth are healthy see your dentist if you have a problem
why can not i taste food when i have a cold,hi a really good cold will kill your taste buds but you know when its going as they come back good luck
can skin become sensitive when it was not before,certain products may contain preservatives or fragrances that can cause hypersensitivity or an allergic reaction on your skin also if you are using products that contain tretinoin aha or salicylic acids your skin may become more sensitive when exposed to direct sunlight therefore it is important to incorporate a sun block within your skin care regimen
can you take flonase and allegra together my doctor prescribed flonase and recommended allegra but i am not sure if i can take them together,yes you can take them together flonase is a steroid nasal spray and allegra is an antihistamine
is there any drug interaction between aspirin and lisinoprilhctz,aspirin can be taken with lisinoprilhctz there are no significant interactions to be concerned about you should always talk to your pharmacist before taking any over the counter medications to make sure they are safe to take with any current medical conditions and medications
will napoxen tablets give a positive reading on a drug test will it cause a false positive reading if the blood test is done by urine andor blood test,no the most common reason for a positive drug test is drugs
what is the treatment for bed bug bites,typically no treatment is required for bed bug bites if itching is severe steroid creams or oral antihistamines may be used for symptom relief secondary bacterial infections that develop over heavily scratched areas may require the use of antibiotics
i have a plantar wart on the heel of my foot is there something i can buy over the counter for this,salicylic acid is available at drug stores for wart removal however if the wart is in a very callused place you may want to have your health care professional freeze the wart off with prescription strength medication sanding the skin down can flake off the wart and transfer it to another location on the body seek medical advice for the quickest safest removal
is triamcinolone used to treat scabies,no triamcinolone cream is a steroid and can be used to control inflammation and itching associated with scabies but it is not a treatment for scabies scabies requires a scabacide an insecticide that is safe to use on humans
my tubes have been cut tied burned can i have it reversed i want another baby,maybe but there is a high failure rate for reattaching the tubes and your health insurance will not pay for this very very expensive surgical procedure that does not have any guarantees of success
can my 12 year old take cranberry pills for a bladder infection if she weighs over 100 pounds,assuming she has been properly diagnosed by having a urinalysis andor urine culture and is on appropriate antibiotics she can take cranberry products safely cranberry pills alone are not an effective cure for a bladder infection
i am scheduled for a colonoscopy in 3 days i am suffering a gout flare up now is it ok to take ibuprofen,you were probably given specific instructions for your colonoscopy so it would not be wise to take any medications at this point until you can clarify those pre colonoscopy instructions first i know that gout is painful so contacting your primary care medical provider is appropriate as well if your colonoscopy is routine perhaps it can be postponed until your gout is under control
should i go see a doctor if im pregnant and having lower belly pressure and lower back pain and im nasuea,if you feel uneasy or uncomfortable it is always best to consult your doctor it is better to be safe than sorry goodluck positivesmiley
does sperm contain prescription medications that the man takes,not likely
what television provider serves the white house what television provider serves the white house,please be respectful of this important webmd medical site by not posting advertisements
sometimes i black out and eat a whole cake should i be worried this has been happening a lot recently,i have reason to doubt that you are not completely unconscious when you are eating those whole cakes apparently over and over if you work at a bakery you should be worried if you are truly blacking out you need to see your medical provider in the meantime do not buy any cake
is tinnitus always accompanied by hearing loss i have been diagnosed with tinnitus but i actually hear better than my last few years hearing exams,no sometimes a person with tinnitus has super hearing fyi i have tinnitus too
is it possible to obtain an std from a soft penis being rubbed against your vagina,yes
can blu light prevent future skin cancers,no
can a premature baby who did not receive the pertussis vaccine because of an intercranial hemmoage recive it as an adult i did however receive diptheria and tetanus vaccine just not pertussis,i do not believe there would be any contraindication to getting a pertussis vaccine as an adult but run it by your medical provider someone who knows you and your complete medical history
is there a generic form of celexa available,yes celexa is available as a generic called citalopram it is readily available in pharmacies
which nuts are most likely heart healthy,the fda allows a qualified health claim that evidence suggests – but does not prove that eating 1 5 ounces 43 grams of nuts per day as part of a diet low in saturated fat and cholesterol reduces coronary heart disease risk the government allows the claim on dietary labeling for specific nuts including almonds hazelnuts pecans pistachios walnuts peanuts and some pine nuts
does tamiflu contain guaifenesin or a similar ingredient,no
how do you treat rebound effect from otc nasal spary is,by using a prescription nasal corticosteroid spray for a while this will help your dependence on this nasal decongestant
is it ok to get pregnant when i have a hernia,also i wanted to add i also have a hiatal hernia which is the top of my stomach going into my diaphram and im still able so dont see why you cant positivesmiley
can swimming in a pool spread plantars warts to others do plantars warts spread t o others from swimming in a pool,no not at all
my husband and i have commonwealth care right now will we have to fill out new paperwork to get the new insurance,for those of you in massachusetts looks like you will have to fill out some new paperwork there will be something called the integrated eligibility system that will connect you with the new federal requirements it is supposed to help you get an eligibility determination online in real time starting october 1
will individuals that are on medicare or medicaid need to enter into a health insurance marketplace plan,no you will stick with the coverage you have
are there special doctors for migraines,neurologists generally take care of migraines not all neurologists spend much time treating migraines and some of them really do not like to treat migraines you might look in the yellow pages or call neurologists office and ask if they treat migraine larger groups of neurologists 4 or more neurologists in the same office often have one md that specializes in treating migraine
what should i do if i suspect an overdose of metoprolol tartrate,if overdose is suspected contact a poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center symptoms of overdose may include very slow heartbeat severe dizziness severe weakness fainting trouble breathing
can alzheimers patients have no pain my mother has the diease and seem to feel no pain she has shingles w no pain,i had shingles at one point but mine didnt hurt it only itched really bad but i was taking ibprofin 3 times a day for a staff infection so if she is on any antiflammitory meds it may be keeping her from feeling any pain
im on my 2nd depo shot and i had unprotected sex then took antibiotic the same night will i get pregnant,no it would not be very likely if you are consistently on depo provera the antibiotic is unlikely to negate the contraceptive effect but in the future consider using condoms until you are no longer on the antibiotic
can eating ramen noodle harm the fetus when pregnant,it is not the most healthy thing to eat while pregnant i do not think it will harm a fetus check the label of ingredients to make sure
once the apartment is fumigated and everything is washed what else can i do to prevent bedbugs from coming back,other than being cautious about what you bring into the house there is not much that you can do most pest professionals will schedule more than one treatment to be as thorough as possible so hopefully those eggs you are worried about will not hatch
i am worried about my husband not taking care of his skin but he does not think men need to do anything any suggestions,men need skin care regimens too they should cleanse morning and night ideally with a foaming face wash men should also use sunscreen every day all year round and exfoliate weekly
is it safe to breastfeed after being stung by a bee on the neck,yes it is safe
have taken two pregnancy test both light positive now bleeding and cramping like a period am i pregnant,hi if you have missed your last period then get to your doctor and get a test done there its the best way to go and then at the right time you can get in for a scan good luck
is depo shot safe for women with scoliosis,yes scoliosis is not a contraindication for using depo provera
is dates good for cancer,dates are good honey is good as good as they are as foods they will not cure or really medically help any form of cancer
is dental extraction dangerous for a fifty year old,dangerous no a 50 year old can have a tooth extracted by a dentist no problems
what would a single dose of 4 azithromycin pills be used to treat,an infection thought to be susceptable to azithromycin there are no specific diseases that you could determine based solely on a drug or dosage
im sick with a cold have the worst headache ever a sore throat and keep breaking in to sweats whats wrong with me help stomach feels twised,you cannot be blindly diagnosed over the internet based solely on a list of vague symptoms if you want to find out what is wrong with you you will need to see a medical provider so that you can be properly examined
how can i use duct tape to get rid of warts,duct tape supposedly starves the wart of oxygen and blood supply and in theory the wart will go away i have not used duct tape in my practice to treat warts currently we utilize topical medications and laser removal
i developed a rash on upper buttox armpit and behind both knees any idea what type of rash this could be,not without seeing it first hand my friend dermatology is a visual art
will bactrim cure strep throat will bactrim cure strep throat,not likely bactrim a sulfa drug is not used to treat strep
could having bad sinuscold infection cause sensitivity in teeth and pressure behind jawears,the sinus problems can cause tooth pain the pain can also be related to the grinding as that can cause inflammation in the ligaments around your teeth the affection of the maxillary sinuses causes an ache in the upper jaw maxilla and teeth
will canabis cure 7 out of 10 cancer patients like i am reading on the internet this has become a very common posting on facebook recently,no cannabis does not cure any cancer but it is used by some cancer patients to help pain control and to improve appetite
can prescription drugs be passed to another individual in seminal fluid,no
will testosterone gel promote post surgical bone growth after spinal fusion surgery to correct stenosis,not likely testosterone gel does not have a clinical indication for this type of use a topical hormone of this type will not correct spinal stenosis or promote bone growth
is being extremely tired a side effectsymptom of shingles my mother 71 was diagnosed with shingles and all she wants to do is sleep is this normal,shingles can cause flu like symptoms including weakness read more here link take care
how is aids diagnosed,if a person with hiv infection has a cd4 count that drops below 200 or if certain infections appear aids defining illnesses that person is considered to have aids
what medicine is recommended to treat kids with fever related to reye syndrome,the preferred medicine for children with fever is acetaminophen tylenol others ibuprofen advil motrin others and naproxen sodium aleve
can u get a std from swallowing semen,yes you can get sexually transmitted diseases from oral sex there is a common misperception that oral sex is safe the risk is the same as having genital to genital intercourse infections such as herpes human papilloma virus hiv syphilis gonorrhea and chlamydia can be transmitted from genitalia to the tissues of the mouth and visa versa
what illnesses often co exist with bipolar disorder,i have bipolar severe depression generalized anxiety and panic disorder co exist with it in me
can laser hair removal treatments on neck hurt vocal chords,no this type of laser will not cause any problems with your vocal cords
during a bowl movement cloudy discharge come from my penis no pain in penis from discharge but some lowertesticle pain this is the first time i noticed discharge what could this be,any discharge from the penis should be considered suspicious and be properly evaluated if this cloudy discharge only occurs during a bowel movement or straining constipation then one possible cause could be prostatitis a prostate gland infection or problem you need to see your primary care medical provider or a urologist to be properly diagnosed and treated
does hyzaar or lisinopril have snake venom in the ingredients,no there is no snake venom in either of these medications
can having trichomoniasis cause boils,no this parasite does not cause boils
is it safe to put hydrogen perioxide in your ears,yes it is safe but that depends on the reason you are using it if the integrity of your eardrum is in question or if you have an active ear infection i would not advise that you use it
can yeast infection cause back pain in lower right,it would not be likely that any vaginal yeast infection would cause right lower back pain
who gets osteoarthritis,osteoarthritis occurs most often in older people younger people sometimes get osteoarthritis primarily from joint injuries
where do i go to sign up for health insurance through the marketplace in my state which department do i go through,find out where to go in your state at healthcare gov
one of my breast was hurting then a couple days later my breast grew twice the size of the other one should i be concern,not knowing if you are a male or female i would have to say yes if one of your breasts has suddenly doubled in size i would think this would be concerning concerning enough for you to see your medical provider for a properly examination
how does long term smoking impact oral health,smoking has long been known to be detrimental to your health on short term it can cause tooth decay and bad breath whereas on longrun causes oral cancer same way alcohol can also lead to tooth decay gum disease and oral cancer alcohol stops the body is ability to properly fight against germs and disease
is it a tension headache if your headache never goes away even when you take tyenol,a tension headache is just one type of nearly a hundred different headaches perhaps the most common type you cannot self diagnose a tension headache based on an individual response to acetaminophen if your headache never goes away it would be in your best interest to see your medical provider or a headache specialist for a thorough examination
do you recommend using vick is vapo stream vaporizer for my 17 month old daughter she is stuffy and congested,this is a great way to help a child with congestion and i recommend this all the time thanks for submitting a question today
how to lose weight with beauty equipment how about chinese equipment i see a web about beauty salon equipment i can believe it,you cannot lose weight without restricting your calorie intake and exercising increasing your calorie output you can lose the weight of your money however if you seek out worthless quackery devices
how soon after conception can i take a pregnancy test i am having the spotting and cramping amongst other symptoms i also had an ultrasound done and they did not see anything,hi its normally done around what would be the first day of your next period if you miss it any help good luck
i am postmenopausal can i still get pregnant i am 53 years old and have not had a period since may 2011,i had gone 16 months without a period then isurprise' i got it again 12 months is not a amagic' number by any means best to be careful realize everyone is body is different each woman will have her own unique experience best wishes
my 5 year old was bitten by tick behind the ear and now her lympnoyd is swollen should i worry no fever and no pain,well you should bring her to the doctor i had a tick on my armpit once and the doctor was a big help he dug the whole tick out
does chewing tobacco destory vitaminc,smoking destroys lives and vitamin c will not help you link
will they accept obamacare at any hospital,no you need to carefully examine the network of each plan you are considering buying not all hospitals and doctors in your area will participate with the health plans sold through the marketplace
on bc pills my period was later and shorter have been tired and nauseus for about 2 weeks could i be pregnant,yes you can but when i was on the pill i had the same symtoms and more symtoms that you also can get while pregnant but i was not pregnant the pill causes the symtoms you desrcibed but if you still think you could be pregnant taking a test is the only real way to be sure
what surgery options do i have for bipolar disorder,there is no known surgery at this time to treat bipolar disorder webmd medical reference from healthwise this information is not intended to replace the advice of a doctor healthwise disclaims any liability for the decisions you make based on this information © 1995 2011 healthwise incorporated healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated
how can i relieve osteoarthritis pain,relief can be found by managing your weight getting exercise avoiding andor treating joint injuries eating right there are also many treatments your doctor can recommend or prescribe they range from over the counter pain relievers to injections of corticosteroids or other compounds and eventually surgery to replace the painful damaged joint
my cycle was 5 days late but now i have a period am i pregnant,you might be be sure and check because i have 4 children and im pretty sure thats what happened before i found out
is exercise important in treating psoriatic arthritis,yes moderate regular exercise can relieve the joint stiffness and pain associated with psoriatic arthritis a tailored program of range of motion and strengthening exercises combined with cardiovascular exercise can help relieve arthritis symptoms maintain normal joint movement increase flexibility and muscle strength maintain weight to reduce pressure on joints improve endurance and cardiovascular fitness
what are the best ways to exfoliate to prevent breakouts how often is it recommended,exfoliation is one of the most important steps to prevent and treat acne there are three types of exfoliation manual with beads or crystals chemical aha bha and enzymatic acne exfoliation is best done with salicylic acid and gentle beads
gargling with cold water stops hiccups gargling with cold water stops hiccups,it can for me the best way is to bend over and drink from the opposite side of a water glass something in the way it makes me contort myself helps the hiccup leave right away
is there a herpes test that determines how long your body has been fighting the virus by determing anti body levels,no unfortunately while there may be available herpetic assay levels this will not indicate the duration of the virus in you body
i have had two children and am left with a wrinkly belly i am only 23 are thermage or microdermabrasion effective,microdermabrasion will most likely have little to no effect i have seen good results from thermage but it can take more than one treatment and is not always effective your dermatologist will help you determine if you are a good candidate for this procedure
would it better for me to move from connecticut to virginia because of my arthritis i do not want to move west,no you really do not have to move to improve your arthritis your arthritis should be able to be managed quite well no matter where you live but you may need to see a rheumatologist to lend a professional hand
what is triamcinolone acetonide cream used for,triamcinolone is a steroid that is used topically for a number of conditions steroids are most commonly used for allergic type rashes such as allergic dermatitis or eczema or for conditions like psoriasis
i am a week late for my period i took two home pregnancy tests that were positive but the blood test was negative,tests are not perfect but the blood pregnancy test is considered to be more accurate i would suggest that you repeat the blood test in about a week or so perhaps getting a quantitative hcg level
does concerta cause your stool to turn black,no this is not an adverse effect of concerta black stools are often feared because they could indicate stomach bleeding but some foods like spinach or black licorice and some medications pepto bismol will also turn the stools black since i do not know your medical history please consult your medical provider for patient specific advice
is it bad to be pregnant if your baby is only 4months old,hi no it keeps the young kids together but you will have your work cut out but if your using nappy is good luck keeping up with them in our house nappy is ruled the day but then our last one was way back in 1974 no know how you modern mothers get on without having to wash nappy is but good luck
my baby is poop is light tan and clay like it has a bad odor and a small amount of blood should i call the doctor,i would definitely encourage you to contact your doctor finding blood in the stool can have many causes including infectious milk allergyintolerance and intestinal bleeding
can i get the flu shot if i am allergic to penicillin,yes
a 40 yr old female and just found out i was born wi the virus i have had no problems im floored is this possible,hi ok perhaps i am thick but what virus are we talking about
how long after being treated for chlamydia is it safe to have sex i did the one time dose of 4 250mg azithromycin tabs,the best answer would be to wait until both partners have been sucessfully treated and you have a negative test result if not it would be best to wait a week and remember to always use condoms
could i be pregnant if i had sex on my fertile and ovulation days,most definitely in a normal menstrual cycle of 28 days ovulation is when the egg is released from the ovary around the 14th day your most fertile days are a few days before and after ovulation as sperm can live for about 5 days but the egg less than 2 days
what is the professional title for a bladder surgeon i need to check for participating providers under my insurance,urologist
why should i be concerned about high blood pressure,uncontrolled high blood pressure can cause strokes heart failure blindness kidney failure and heart attacks most people with high blood pressure need to take medicines to treat it for their whole lives
after starting concerta how long should it take before we start seeing improvements in my child is behavior,you should start seeing improvements almost immediately within the first few days of use however you may not see complete improvement for up to one month if you do not see any improvement within the first month of treatment you should speak to your child is healthcare provider to re evaluate how to treat the condition
what is hives or urticaria,urticaria hives are itchy swollen red bumps or patches on the skin that appear suddenly as a result of the body is adverse reaction to certain allergens they can appear anywhere on the body including the face lips tongue throat or ears hives vary in size and can last for minutes or days
my dentures collect food are very uncomfortable and are not held in by the glue what are your suggestions,dentures can be very difficult to get used to they need to be removed and rinsed as much as possible implants can solve a whole lot of problems i strongly suggest that you seek implant treatment
how long after a collage is done can u have sex i had one a week ago and im 19 weeks pregnat,look sorry just one last thought do you go out drinking ever woke up and cant remember how you got there think perhaps you have had sex but just cant remember then think date rape perhaps that is why you cant remember you were drugged
just had a miscarriage 7 weeks ago i am pregnant again is it possible to know this early used an otc preg test kit,hi yes it can happen but do see your doctor for a better test good luck
i had a jif pb grape jelly sandwich on white bread 810am a mint candy at 10am bs test at 1015am was 170 normal,normal no but you had a considerable amount of sugar and carbohydrates so i would suggest that you check it again several times including fasting contact your medical provider if your blood sugars continue to be high
what are my risk since my mother has been diagnosed with breast cancer i am a 37 yr old female with a history of melanoma and cervical cancer,perhaps higher but i could not provide you with a number or percentage since i do not know the type of breast cancer that your mother has to know if it is a type that is genetically linked your mother can ask her oncologist and then let you know if you are at a higher risk
i am on medicare due to m s do i need to change from medicare to the health insurance exchange,no you are fine on medicare you need not make any changes
i have not have a period for the last 4 months can i still get pregnant,might be already pregnant if you are not pregnant and not having a period perhaps you are not ovulating regularly either this means there is no egg available to be fertilised therefore you will not get pregnant in this situation you might suddenly ovulate one day when you are not expecting it and then you could get a surprise pregnancy
my daughter is 18 months old she has a yellow discoloration on one of her front teeth what caused this,the yellow stain could be a number of things an innocent stain a cavity a traumatic injury or a genetic defect please take your child to the pediatric dentist for an examination
how much should my 8yo daughter weight at 4ft1in is 75 0 too much or too little,here is a better way to make that determination using a bmi calculator link
can intercourse cause hemorrhoids to worsen can hemorrhoids cause painful intercourse,hemorrhoids as you know are anal the only type of intercourse that could worsen hemorrhoids would be anal sex vaginal sex would not cause or aggravate hemorrhoids if you are having painful vaginal intercourse then there is another cause one of the most common causes of hemorrhoids is constipation straining to have a bowel movement
is asthma contagious,no asthma is not contagious it is related to allergy
the vein in my hand is bruised swollen 1 hr after a routine cbc draw how do i treat,coldice compresses elevating the hand and direct compression will help
i have a rash on my lower legs just above ankles no pain and no itching is this a circulation problem or what,dont know if you go to the tanning bed but i went through that it was caused from an ingredient in the tanning lotion it didnt hurt or itch but benedryl done the trick
who is at greatest risk for bipolar disorder,typically the onset of bipolar disorder occurs in the early 20s however the first symptoms often unrecognized may occur in early childhood or less commonly as late as the senior years according the national institute of mental health some 6 million americans are affected with men and women affected equally some studies suggest a genetic susceptibility
what does wrecked mean vi udbetaler danmarks højeste skrotpræmie for din skrot bil alt har interesse vi køber skrotbiler brugte biler varevogne skadede biler firehjulstrækkere 4×4 link,please be respectful and not use this important webmd site for non medical issues or advertising thank you
can traces of cocaine be passed on to another person through lip andor tongue kissing and show up on their drug test,that would be highly unlikely
i have a small brownish colored spot under my right breast and its been there for awhile what is it,you do realize that i have no way of examining you correct it would be impossible for any medical professional to make a diagnostic call based solely on the description of a brown colored spot you will need to see a medical professional or dermatologist for a proper examination
i forgot to give my dog his heartworm pill for the last 2months is it ok to go ahead and start it up again,not knowing what part of the world that you live or the seriousness of heartworm in your particular area it would be best to consult your local veterinarian for dog specific advice
i need family health insurance what should i do,go to healthcare gov to begin shopping for a plan
for what purposes are ultrasounds used,ultrasound is not limited to diagnosis but can also be used in screening for disease and to aid in treatment of diseases or conditions
my 14 year old son is taking an increased dose of concerta for adhd and has blurred vision in school is this serious,concerta can cause visual disturbances as a side effect in some people if your son is having side effects from his medication or has developed a new symptom you should talk to the prescriber who can examine him and determine the cause of his blurred vision
can you take vitamins if you have diverticulitis can you take vitamins if you have diverticulitis,i can see no reason why you could not take vitamins with diverticulitis unless your doctor does not want you to take pills during an inflammation phase if that is the case you can take chewables or liquid form until you are able to take whole pills again also see diet for diverticulitis
what does varicella chickenpox look like,varicella chickenpox causes a characteristic rash to appear over several days the raised sores rupture and then crust the rash begins on the chest and back and spreads to involve the face scalp arms and legs
if i already have health insurance do i have to do anything as a result of the aca,if you have insurance through an employer medicaid or medicare you do not need to do anything if you buy your own coverage you should get a notice from your insurer letting you know if your existing plan complies with the law you can also call your insurer directly to find out
since i have a ppo insurance plan will i be given the choice between keeping my current plan or changing to obamacare if obamacare makes better financial sense,if you buy insurance on your own and do not get it through a job or other group you can and should shop your insurance options before deciding to stay with your current plan
does medicare cover campral,you would need a medicare part d prescription drug plan in order for medications to be covered to determine if the specific medication you need is covered you will need to contact your insurance plan directly
i have a subconjunctival hemorage in my eye is it ok to travel on an airplane,assuming you do not have any underlying medical problems that contributed to the subconjunctival hemorrhage these are usually innocent and it is safe to fly on an airplane
